,country_a,country_b,similarity
0,ca,ca,1.0
1,ca,dk,0.2940038684719536
2,ca,gr,0.4898074745186863
3,ca,is,0.32104228121927236
4,ca,mx,0.0984647961884595
5,ca,ph,0.2335468841001747
6,ca,sv,0.12872340425531914
7,ca,ar,0.08155146693187469
8,ca,ch,0.26331114808652245
9,ca,do,0.11204343534057255
10,ca,gt,0.11248073959938366
11,ca,it,0.12489120974760662
12,ca,my,0.2816593886462882
13,ca,pl,0.22532498796340877
14,ca,th,0.19038461538461537
15,ca,at,0.24536628420123566
16,ca,cl,0.06329735034347399
17,ca,ec,0.0775950668036999
18,ca,hk,0.31340782122905025
19,ca,jp,0.15449577744659712
20,ca,ni,0.09475150952159778
21,ca,pt,0.36768963520555875
22,ca,tr,0.09389197375063099
23,ca,au,0.47648136835675015
24,ca,co,0.08770161290322581
25,ca,ee,0.45384615384615384
26,ca,hn,0.13195548489666137
27,ca,lt,0.46061922868006516
28,ca,nl,0.23402417962003455
29,ca,py,0.07280080889787664
30,ca,tw,0.23446069469835465
31,ca,be,0.32728164867517173
32,ca,cr,0.15263157894736842
33,ca,es,0.12552496500233318
34,ca,hu,0.4317155756207675
35,ca,lu,0.3755294117647059
36,ca,no,0.35775644264780193
37,ca,ro,0.514775413711584
38,ca,us,0.6674459380479252
39,ca,bg,0.4756697648988518
40,ca,cy,0.5107033639143731
41,ca,fi,0.23926901827454314
42,ca,id,0.17235590374930052
43,ca,lv,0.4965197215777262
44,ca,nz,0.47731510254816656
45,ca,se,0.2549363756033348
46,ca,uy,0.07790973871733967
47,ca,bo,0.09392547217968351
48,ca,cz,0.3392670157068063
49,ca,fr,0.10953657602451168
50,ca,ie,0.423907028223575
51,ca,pa,0.13716591023701463
52,ca,sg,0.30782508630609895
53,ca,vn,0.22156967431927388
54,ca,br,0.10544904137235116
55,ca,de,0.20056611403154065
56,ca,gb,0.3857736240913811
57,ca,il,0.2812321734169994
58,ca,mt,0.4513771781899944
59,ca,pe,0.06022267206477733
60,ca,sk,0.3963541666666667
61,ca,global,0.5667655786350149
62,dk,ca,0.2940038684719536
63,dk,dk,1.0
64,dk,gr,0.2903711133400201
65,dk,is,0.2519047619047619
66,dk,mx,0.08616047388260635
67,dk,ph,0.19489559164733178
68,dk,sv,0.1067024128686327
69,dk,ar,0.06865219586067643
70,dk,ch,0.22896039603960397
71,dk,do,0.10135474159558455
72,dk,gt,0.09449636552440291
73,dk,it,0.12261217236783652
